Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CS3,0.000126,126284000.0,75058.0,0.35,358781786.0,621996.0,75058.0,252568.0,3.364971,0.297179,0.018567,23721.0,228847.0,61903140.0,58611360.0,490.189889,490.189889
MI,0.000111,111231500.0,168504.0,0.45,247592733.0,622008.0,168504.0,222463.0,1.320224,0.757447,0.005095,48420.0,174043.0,56337480.0,51566460.0,506.48854,506.48854
MIP,7.2e-05,72095000.0,46492.0,0.17,412713591.0,622036.0,46492.0,144190.0,3.101394,0.322436,0.079111,48007.0,96183.0,41494005.0,34969380.0,575.546224,575.546224
MCS,0.000397,397021000.0,272847.0,0.84,470442797.0,622508.0,272847.0,794042.0,2.91021,0.343618,0.089175,465913.0,328129.0,215770425.0,219305820.0,543.473582,543.473582
CRm,4.9e-05,49071000.0,53538.0,0.19,262975704.0,622024.0,53538.0,98142.0,1.833128,0.545516,0.010888,28679.0,69463.0,28173855.0,23711205.0,574.144709,574.144709
ML2,0.004233,4232666500.0,985515.0,3.45,1226687593.0,622920.0,985515.0,8465333.0,8.589756,0.116418,0.355908,7079925.0,1385408.0,2686616280.0,2683822665.0,634.73375,634.73375
CChst,6.8e-05,68463500.0,99007.0,0.25,269025014.0,622024.0,99007.0,136927.0,1.383003,0.723064,0.02416,31934.0,104993.0,35139555.0,33897675.0,513.259693,513.259693
MM,0.007681,7680780000.0,3048463.0,13.45,571208475.0,623192.0,3048463.0,15361560.0,5.039116,0.198447,0.202997,9755652.0,5605908.0,4859439315.0,4852276530.0,632.675238,632.675238
ML2st,0.004403,4403344000.0,1051043.0,3.9,1129523525.0,622924.0,1051043.0,8806688.0,8.378999,0.119346,0.298267,7414656.0,1392032.0,3047039685.0,3046086450.0,691.983112,691.983112
MC,0.000536,536185000.0,338364.0,1.24,433855917.0,622488.0,338364.0,1072370.0,3.169279,0.315529,0.089176,429697.0,642673.0,280024005.0,283336125.0,522.25259,522.25259
