Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,5e-05,50205000.0,59948.0,0.17,288917872.0,618660.0,59948.0,100410.0,1.674952,0.597032,0.081541,20461.0,79949.0,26239410.0,23072940.0,522.645354,522.645354
EM1,2.6e-05,25514500.0,18851.0,0.09,279785422.0,618660.0,18851.0,51029.0,2.706965,0.369417,0.079464,20936.0,30093.0,14946990.0,11694870.0,585.823355,585.823355
DPT,0.000113,113188000.0,106979.0,0.39,293943157.0,618668.0,106979.0,226376.0,2.116079,0.472572,0.033173,32348.0,194028.0,57112215.0,52485165.0,504.578356,504.578356
MIM2,0.000739,739469000.0,105243.0,0.57,1305226057.0,618960.0,105243.0,1478938.0,14.052602,0.071161,0.490166,1276770.0,202168.0,451627290.0,458258085.0,610.7454,610.7454
CCl,5e-05,49608000.0,119245.0,0.2,250927182.0,618672.0,119245.0,99216.0,0.832035,1.201873,0.030284,21164.0,78052.0,26142435.0,22843980.0,526.980225,526.980225
EF,3.4e-05,33535500.0,43449.0,0.15,222516877.0,618668.0,43449.0,67071.0,1.543672,0.647806,0.077739,20466.0,46605.0,18570000.0,15407400.0,553.741557,553.741557
STL2,0.001266,1265548000.0,309681.0,1.43,884516206.0,618936.0,309681.0,2531096.0,8.173236,0.122351,0.267927,1969128.0,561968.0,802932480.0,800585910.0,634.454387,634.454387
ML2BWst,0.002438,2438136000.0,625078.0,2.62,930786860.0,618924.0,625078.0,4876272.0,7.801062,0.128188,0.378195,3974613.0,901659.0,1819901940.0,1820334450.0,746.431676,746.431676
CRd,0.061834,61833541500.0,85974033.0,262.45,235599877.0,618676.0,85974033.0,123667083.0,1.438424,0.695205,1e-05,285331.0,123381752.0,28774228185.0,28765730490.0,465.349833,465.349833
MMst,0.007595,7595266000.0,2982932.0,13.68,555068446.0,619184.0,2982932.0,15190532.0,5.092484,0.196368,0.202998,9587583.0,5602949.0,5192967735.0,5189097315.0,683.711108,683.711108
MIM,0.000747,747258000.0,105243.0,0.6,1245025126.0,618964.0,105243.0,1494516.0,14.200621,0.070419,0.491378,1286902.0,207614.0,468739425.0,470627160.0,627.279233,627.279233
ED1,3.1e-05,31101500.0,14759.0,0.1,302591259.0,618660.0,14759.0,62203.0,4.214581,0.237272,0.079393,19835.0,42368.0,17009370.0,13840470.0,546.898703,546.898703
CCh,0.001045,1044974500.0,1182157.0,3.39,308611143.0,618676.0,1182157.0,2089949.0,1.767912,0.565639,0.00261,172022.0,1917927.0,500856360.0,487217655.0,479.300079,479.300079
CS1,1.8e-05,17779000.0,8305.0,0.06,282385099.0,618672.0,8305.0,35558.0,4.281517,0.233562,0.052243,21106.0,14452.0,11265570.0,8092260.0,633.644749,633.644749
