Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,5e-05,50205000.0,59948.0,0.18,285346639.0,619692.0,59948.0,100410.0,1.674952,0.597032,0.081541,20461.0,79949.0,26239410.0,23072940.0,522.645354,522.645354
EM1,2.6e-05,25514500.0,18851.0,0.09,285521648.0,619692.0,18851.0,51029.0,2.706965,0.369417,0.079464,20936.0,30093.0,14946990.0,11694870.0,585.823355,585.823355
DPT,0.000113,113188000.0,106979.0,0.38,295186876.0,619700.0,106979.0,226376.0,2.116079,0.472572,0.033173,32348.0,194028.0,57112215.0,52485165.0,504.578356,504.578356
MIM2,0.000281,280896000.0,105243.0,0.42,662563418.0,620124.0,105243.0,561792.0,5.338046,0.187334,0.168244,390748.0,171044.0,160615725.0,158409435.0,571.797836,571.797836
CCl,5e-05,49608000.0,119245.0,0.19,254724879.0,619704.0,119245.0,99216.0,0.832035,1.201873,0.030284,21164.0,78052.0,26142435.0,22843980.0,526.980225,526.980225
EF,3.4e-05,33535500.0,43449.0,0.13,254260396.0,619700.0,43449.0,67071.0,1.543672,0.647806,0.077739,20466.0,46605.0,18570000.0,15407400.0,553.741557,553.741557
STL2,0.001226,1226070000.0,309681.0,1.43,857087817.0,620100.0,309681.0,2452140.0,7.918277,0.12629,0.264187,1890707.0,561433.0,767665515.0,764917125.0,626.118831,626.118831
ML2BWst,0.00227,2269728000.0,625078.0,2.58,879771763.0,620216.0,625078.0,4539456.0,7.262223,0.137699,0.357998,3641276.0,898180.0,1672959405.0,1670347830.0,737.074841,737.074841
CRd,0.061834,61833541500.0,85974033.0,242.52,254961336.0,619708.0,85974033.0,123667083.0,1.438424,0.695205,1e-05,285331.0,123381752.0,28774228185.0,28765730490.0,465.349833,465.349833
MMst,0.007903,7902604000.0,2982932.0,14.05,562410885.0,620488.0,2982932.0,15805208.0,5.298548,0.188731,0.202998,10204886.0,5600322.0,5196122430.0,5188640970.0,657.520284,657.520284
MIM,0.000281,280896000.0,105243.0,0.6,468563294.0,620128.0,105243.0,561792.0,5.338046,0.187334,0.168244,390748.0,171044.0,160615725.0,158409435.0,571.797836,571.797836
ED1,3.1e-05,31101500.0,14759.0,0.1,303922500.0,619692.0,14759.0,62203.0,4.214581,0.237272,0.079393,19835.0,42368.0,17009370.0,13840470.0,546.898703,546.898703
CCh,0.001045,1044974500.0,1182157.0,3.42,305105285.0,619708.0,1182157.0,2089949.0,1.767912,0.565639,0.00261,172022.0,1917927.0,500856360.0,487217655.0,479.300079,479.300079
CS1,1.8e-05,17779000.0,8305.0,0.08,235236259.0,619704.0,8305.0,35558.0,4.281517,0.233562,0.052243,21106.0,14452.0,11265570.0,8092260.0,633.644749,633.644749
CF1,2.1e-05,20864000.0,15008.0,0.08,262942680.0,619712.0,15008.0,41728.0,2.780384,0.359663,0.034108,20909.0,20819.0,12675675.0,9276900.0,607.538104,607.538104
MDyn,0.017755,17754774000.0,4282809.0,19.83,895256149.0,620372.0,4282809.0,35509548.0,8.291182,0.12061,0.252351,27294330.0,8215218.0,10721681325.0,10717917420.0,603.875967,603.875967
STL2b,0.003163,3162659500.0,397497.0,2.47,1280774024.0,620136.0,397497.0,6325319.0,15.912872,0.062842,0.619327,5495102.0,830217.0,2310950880.0,2303102820.0,730.698604,730.698604
ML2BWld,0.003441,3441056500.0,788918.0,3.14,1094549807.0,620220.0,788918.0,6882113.0,8.723483,0.114633,0.25584,5605555.0,1276558.0,2147599470.0,2147147865.0,624.110493,624.110493
MD,0.000163,162634500.0,190319.0,0.65,248854611.0,619848.0,190319.0,325269.0,1.709073,0.585113,0.021447,41058.0,284211.0,80804010.0,90744795.0,496.844212,496.844212
CRf,0.000112,112116500.0,165385.0,0.48,233311274.0,619696.0,165385.0,224233.0,1.355824,0.737559,0.001876,21045.0,203188.0,56403150.0,51906300.0,503.076264,503.076264
