Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,5e-05,50205000.0,59948.0,0.18,284198999.0,619636.0,59948.0,100410.0,1.674952,0.597032,0.081541,20461.0,79949.0,26239410.0,23072940.0,522.645354,522.645354
EM1,2.6e-05,25514500.0,18851.0,0.09,285577683.0,619724.0,18851.0,51029.0,2.706965,0.369417,0.079464,20936.0,30093.0,14946990.0,11694870.0,585.823355,585.823355
DPT,0.000113,113188000.0,106979.0,0.39,293660382.0,619640.0,106979.0,226376.0,2.116079,0.472572,0.033173,32348.0,194028.0,57112215.0,52485165.0,504.578356,504.578356
MIM2,0.000302,301911000.0,105243.0,0.45,677843997.0,620064.0,105243.0,603822.0,5.737408,0.174295,0.176852,431129.0,172693.0,173412750.0,170914275.0,574.383676,574.383676
CCl,5e-05,49608000.0,119245.0,0.2,252548561.0,619648.0,119245.0,99216.0,0.832035,1.201873,0.030284,21164.0,78052.0,26142435.0,22843980.0,526.980225,526.980225
EF,3.4e-05,33535500.0,43449.0,0.13,254601797.0,619640.0,43449.0,67071.0,1.543672,0.647806,0.077739,20466.0,46605.0,18570000.0,15407400.0,553.741557,553.741557
STL2,0.001226,1226396000.0,309681.0,1.46,840554169.0,620084.0,309681.0,2452792.0,7.920383,0.126257,0.264209,1891382.0,561410.0,764487885.0,762471045.0,623.361365,623.361365
ML2BWst,0.002273,2273173000.0,625078.0,2.61,869443451.0,620168.0,625078.0,4546346.0,7.273246,0.13749,0.358568,3648054.0,898292.0,1671912390.0,1668063795.0,735.497206,735.497206
CRd,0.061834,61833541500.0,85974033.0,242.06,255450905.0,619652.0,85974033.0,123667083.0,1.438424,0.695205,1e-05,285331.0,123381752.0,28774228185.0,28765730490.0,465.349833,465.349833
MMst,0.00787,7870020000.0,2982932.0,13.69,574819411.0,620444.0,2982932.0,15740040.0,5.276701,0.189512,0.202998,10139601.0,5600439.0,5195309520.0,5186425605.0,660.139303,660.139303
MIM,0.000302,301911000.0,105243.0,0.44,691488410.0,620192.0,105243.0,603822.0,5.737408,0.174295,0.176852,431129.0,172693.0,173412750.0,170914275.0,574.383676,574.383676
ED1,3.1e-05,31101500.0,14759.0,0.1,300768942.0,619632.0,14759.0,62203.0,4.214581,0.237272,0.079393,19835.0,42368.0,17009370.0,13840470.0,546.898703,546.898703
CCh,0.001045,1044974500.0,1182157.0,3.36,310920024.0,619648.0,1182157.0,2089949.0,1.767912,0.565639,0.00261,172022.0,1917927.0,500856360.0,487217655.0,479.300079,479.300079
CS1,1.8e-05,17779000.0,8305.0,0.06,274750519.0,619644.0,8305.0,35558.0,4.281517,0.233562,0.052243,21106.0,14452.0,11265570.0,8092260.0,633.644749,633.644749
CF1,2.1e-05,20864000.0,15008.0,0.08,259012030.0,619652.0,15008.0,41728.0,2.780384,0.359663,0.034108,20909.0,20819.0,12675675.0,9276900.0,607.538104,607.538104
MDyn,0.01772,17719999000.0,4282809.0,20.06,883371080.0,620316.0,4282809.0,35439998.0,8.274942,0.120847,0.250934,27231910.0,8208088.0,10705082610.0,10701011640.0,604.124335,604.124335
STL2b,0.003161,3161061500.0,397497.0,2.52,1253151560.0,620212.0,397497.0,6322123.0,15.904832,0.062874,0.619327,5491740.0,830383.0,2308975380.0,2300411205.0,730.443043,730.443043
ML2BWld,0.003453,3453111500.0,788918.0,3.02,1143275265.0,620192.0,788918.0,6906223.0,8.754044,0.114233,0.256529,5628725.0,1277498.0,2153112930.0,2153765085.0,623.528354,623.528354
MD,0.000163,162634500.0,190319.0,0.66,247229965.0,619788.0,190319.0,325269.0,1.709073,0.585113,0.021447,41058.0,284211.0,80804010.0,90744795.0,496.844212,496.844212
CRf,0.000112,112116500.0,165385.0,0.48,231599685.0,619640.0,165385.0,224233.0,1.355824,0.737559,0.001876,21045.0,203188.0,56403150.0,51906300.0,503.076264,503.076264
CCa,3.8e-05,37733000.0,51717.0,0.14,261777905.0,619764.0,51717.0,75466.0,1.459211,0.685302,0.081688,20191.0,55275.0,20203380.0,17019240.0,535.429995,535.429995
DP1d,0.000327,326906000.0,293977.0,1.03,316608063.0,619784.0,293977.0,653812.0,2.224024,0.449635,0.036128,196621.0,457191.0,166753515.0,164032200.0,510.09622,510.09622
CCe,6.1e-05,60609500.0,76331.0,0.22,279895505.0,619640.0,76331.0,121219.0,1.58807,0.629695,0.010167,24858.0,96361.0,30966450.0,27700830.0,510.91743,510.91743
DPTd,5.6e-05,55549000.0,50197.0,0.19,286831932.0,619672.0,50197.0,111098.0,2.21324,0.451826,0.027571,24391.0,86707.0,29312760.0,25757790.0,527.691948,527.691948
EI,3.4e-05,33886500.0,39358.0,0.12,291811011.0,619644.0,39358.0,67773.0,1.721962,0.580733,0.082143,21241.0,46532.0,18793320.0,15542280.0,554.596078,554.596078
DPcvt,5.1e-05,51489000.0,33240.0,0.17,302753619.0,619660.0,33240.0,102978.0,3.098014,0.322787,0.03315,31635.0,71343.0,28321125.0,23566380.0,550.042242,550.042242
EM5,3.2e-05,31629500.0,35251.0,0.11,279321266.0,619640.0,35251.0,63259.0,1.794531,0.557249,0.081541,20884.0,42375.0,17902140.0,14675400.0,565.995036,565.995036
ML2BWldst,0.003549,3548925500.0,821686.0,3.23,1099426603.0,620192.0,821686.0,7097851.0,8.638155,0.115765,0.224598,5859803.0,1238048.0,2350948095.0,2351196975.0,662.439405,662.439405
DP1f,0.000172,172158000.0,149964.0,0.54,318565172.0,619768.0,149964.0,344316.0,2.295991,0.435542,0.036552,110268.0,234048.0,86995800.0,89702580.0,505.325341,505.325341
STc,9.5e-05,94712000.0,70173.0,0.28,335429367.0,619656.0,70173.0,189424.0,2.699386,0.370455,0.018734,32265.0,157159.0,48793470.0,43958040.0,515.177274,515.177274
CS3,0.000126,126284000.0,75058.0,0.35,363660859.0,619644.0,75058.0,252568.0,3.364971,0.297179,0.018567,23721.0,228847.0,61903140.0,58611360.0,490.189889,490.189889
MI,0.000111,111231500.0,168504.0,0.44,251454744.0,619656.0,168504.0,222463.0,1.320224,0.757447,0.005095,48420.0,174043.0,56337480.0,51566460.0,506.48854,506.48854
MIP,7.2e-05,72095000.0,46492.0,0.18,408088635.0,619684.0,46492.0,144190.0,3.101394,0.322436,0.079111,48007.0,96183.0,41494005.0,34969380.0,575.546224,575.546224
MCS,0.000407,406737000.0,272847.0,0.88,463574458.0,620088.0,272847.0,813474.0,2.981429,0.33541,0.089463,485264.0,328210.0,222701445.0,229366695.0,547.531808,547.531808
CRm,4.9e-05,49071000.0,53538.0,0.19,263041430.0,619668.0,53538.0,98142.0,1.833128,0.545516,0.010888,28679.0,69463.0,28173855.0,23711205.0,574.144709,574.144709
ML2,0.005413,5413366500.0,985515.0,3.77,1436515597.0,620056.0,985515.0,10826733.0,10.985863,0.091026,0.432756,9336487.0,1490246.0,3427203945.0,3423906450.0,633.100298,633.100298
CChst,6.8e-05,68463500.0,99007.0,0.26,261780743.0,619676.0,99007.0,136927.0,1.383003,0.723064,0.02416,31934.0,104993.0,35139555.0,33897675.0,513.259693,513.259693
MM,0.00766,7660437000.0,3048463.0,13.55,565169274.0,620420.0,3048463.0,15320874.0,5.02577,0.198974,0.202997,9714911.0,5605963.0,4888349790.0,4883664600.0,638.129364,638.129364
ML2st,0.005636,5635590000.0,1051043.0,4.21,1337757244.0,620048.0,1051043.0,11271180.0,10.723805,0.09325,0.371843,9840531.0,1430649.0,3940552785.0,3940918320.0,699.226307,699.226307
MC,0.000546,546374000.0,338364.0,1.25,435357351.0,620076.0,338364.0,1092748.0,3.229504,0.309645,0.089426,449992.0,642756.0,287523705.0,294071505.0,526.239728,526.239728
