Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,5e-05,50205000.0,59948.0,0.18,283066649.0,618592.0,59948.0,100410.0,1.674952,0.597032,0.081541,20461.0,79949.0,26239410.0,23072940.0,522.645354,522.645354
EM1,2.6e-05,25514500.0,18851.0,0.09,283306716.0,618592.0,18851.0,51029.0,2.706965,0.369417,0.079464,20936.0,30093.0,14946990.0,11694870.0,585.823355,585.823355
DPT,0.000113,113188000.0,106979.0,0.39,289117630.0,618596.0,106979.0,226376.0,2.116079,0.472572,0.033173,32348.0,194028.0,57112215.0,52485165.0,504.578356,504.578356
MIM2,0.000741,740923000.0,105243.0,0.57,1303121128.0,618896.0,105243.0,1481846.0,14.080233,0.071022,0.490166,1279653.0,202193.0,452973315.0,458350440.0,611.363549,611.363549
CCl,5e-05,49608000.0,119245.0,0.2,254285253.0,618604.0,119245.0,99216.0,0.832035,1.201873,0.030284,21164.0,78052.0,26142435.0,22843980.0,526.980225,526.980225
EF,3.4e-05,33535500.0,43449.0,0.13,249843307.0,618600.0,43449.0,67071.0,1.543672,0.647806,0.077739,20466.0,46605.0,18570000.0,15407400.0,553.741557,553.741557
STL2,0.001267,1266921000.0,309681.0,1.46,868916348.0,618868.0,309681.0,2533842.0,8.182104,0.122218,0.268133,1971798.0,562044.0,801530385.0,798657720.0,632.660115,632.660115
ML2BWst,0.00244,2439766000.0,625078.0,2.66,918737607.0,618872.0,625078.0,4879532.0,7.806277,0.128102,0.378346,3977881.0,901651.0,1815963090.0,1815077520.0,744.318549,744.318549
CRd,0.061834,61833541500.0,85974033.0,243.95,253464002.0,618612.0,85974033.0,123667083.0,1.438424,0.695205,1e-05,285331.0,123381752.0,28774228185.0,28765730490.0,465.349833,465.349833
MMst,0.007553,7553412000.0,2982932.0,13.58,556068536.0,619128.0,2982932.0,15106824.0,5.064421,0.197456,0.203,9504590.0,5602234.0,5181494490.0,5179156440.0,685.980652,685.980652
MIM,0.000749,749016000.0,105243.0,0.61,1224992002.0,618896.0,105243.0,1498032.0,14.23403,0.070254,0.491378,1290436.0,207596.0,470457885.0,470473875.0,628.101249,628.101249
ED1,3.1e-05,31101500.0,14759.0,0.1,300995079.0,618592.0,14759.0,62203.0,4.214581,0.237272,0.079393,19835.0,42368.0,17009370.0,13840470.0,546.898703,546.898703
CCh,0.001045,1044974500.0,1182157.0,3.45,303063668.0,618604.0,1182157.0,2089949.0,1.767912,0.565639,0.00261,172022.0,1917927.0,500856360.0,487217655.0,479.300079,479.300079
CS1,1.8e-05,17779000.0,8305.0,0.06,274006927.0,618604.0,8305.0,35558.0,4.281517,0.233562,0.052243,21106.0,14452.0,11265570.0,8092260.0,633.644749,633.644749
CF1,2.1e-05,20864000.0,15008.0,0.08,263455819.0,618612.0,15008.0,41728.0,2.780384,0.359663,0.034108,20909.0,20819.0,12675675.0,9276900.0,607.538104,607.538104
MDyn,0.017739,17738521000.0,4282809.0,20.56,862604003.0,619016.0,4282809.0,35477042.0,8.283592,0.120721,0.250934,27268939.0,8208103.0,10720823055.0,10716649635.0,604.380887,604.380887
STL2b,0.003179,3178836500.0,397497.0,2.48,1281712127.0,618860.0,397497.0,6357673.0,15.994267,0.062522,0.619327,5527211.0,830462.0,2325123975.0,2316443625.0,731.43868,731.43868
ML2BWld,0.00372,3719507500.0,788918.0,3.05,1217686951.0,618884.0,788918.0,7439015.0,9.429389,0.106051,0.270651,6141972.0,1297043.0,2318411880.0,2319003345.0,623.311522,623.311522
MD,0.000163,162634500.0,190319.0,0.7,231866396.0,618748.0,190319.0,325269.0,1.709073,0.585113,0.021447,41058.0,284211.0,80804010.0,90744795.0,496.844212,496.844212
