Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,5e-05,50205000.0,59948.0,0.18,284319110.0,621828.0,59948.0,100410.0,1.674952,0.597032,0.081541,20461.0,79949.0,26239410.0,23072940.0,522.645354,522.645354
EM1,2.6e-05,25514500.0,18851.0,0.09,290737888.0,621828.0,18851.0,51029.0,2.706965,0.369417,0.079464,20936.0,30093.0,14946990.0,11694870.0,585.823355,585.823355
DPT,0.000113,113188000.0,106979.0,0.38,296221258.0,621836.0,106979.0,226376.0,2.116079,0.472572,0.033173,32348.0,194028.0,57112215.0,52485165.0,504.578356,504.578356
MIM2,0.000275,274895000.0,105243.0,0.42,648260063.0,622276.0,105243.0,549790.0,5.224005,0.191424,0.164665,379619.0,170171.0,155739855.0,152753010.0,566.543062,566.543062
CCl,5e-05,49608000.0,119245.0,0.2,252634454.0,621840.0,119245.0,99216.0,0.832035,1.201873,0.030284,21164.0,78052.0,26142435.0,22843980.0,526.980225,526.980225
EF,3.4e-05,33535500.0,43449.0,0.13,252027752.0,621836.0,43449.0,67071.0,1.543672,0.647806,0.077739,20466.0,46605.0,18570000.0,15407400.0,553.741557,553.741557
STL2,0.001144,1144074000.0,309681.0,1.38,828663206.0,622720.0,309681.0,2288148.0,7.388726,0.135341,0.256534,1727719.0,560429.0,698580210.0,694629885.0,610.607539,610.607539
ML2BWst,0.001897,1897466000.0,625078.0,2.39,793361014.0,622908.0,625078.0,3794932.0,6.071134,0.164714,0.31257,2904359.0,890573.0,1352434500.0,1349117775.0,712.758226,712.758226
CRd,0.061834,61833541500.0,85974033.0,242.9,254567202.0,621844.0,85974033.0,123667083.0,1.438424,0.695205,1e-05,285331.0,123381752.0,28774228185.0,28765730490.0,465.349833,465.349833
MMst,0.007873,7873223000.0,2982932.0,13.64,577091139.0,623036.0,2982932.0,15746446.0,5.278848,0.189435,0.202998,10150020.0,5596426.0,5165346090.0,5153220705.0,656.065005,656.065005
MIM,0.000275,274895000.0,105243.0,0.43,636627305.0,622280.0,105243.0,549790.0,5.224005,0.191424,0.164665,379619.0,170171.0,155739855.0,152753010.0,566.543062,566.543062
ED1,3.1e-05,31101500.0,14759.0,0.1,303518426.0,621828.0,14759.0,62203.0,4.214581,0.237272,0.079393,19835.0,42368.0,17009370.0,13840470.0,546.898703,546.898703
CCh,0.001045,1044974500.0,1182157.0,3.47,300984364.0,621840.0,1182157.0,2089949.0,1.767912,0.565639,0.00261,172022.0,1917927.0,500856360.0,487217655.0,479.300079,479.300079
CS1,1.8e-05,17779000.0,8305.0,0.06,278902864.0,621840.0,8305.0,35558.0,4.281517,0.233562,0.052243,21106.0,14452.0,11265570.0,8092260.0,633.644749,633.644749
CF1,2.1e-05,20864000.0,15008.0,0.08,260907233.0,621848.0,15008.0,41728.0,2.780384,0.359663,0.034108,20909.0,20819.0,12675675.0,9276900.0,607.538104,607.538104
MDyn,0.017719,17719340000.0,4282809.0,19.87,891607757.0,622940.0,4282809.0,35438680.0,8.274635,0.120851,0.252352,27223461.0,8215219.0,10691471895.0,10686336330.0,603.378675,603.378675
STL2b,0.000696,695687500.0,397497.0,1.35,514645904.0,622740.0,397497.0,1391375.0,3.500341,0.285686,0.125026,734654.0,656721.0,381385530.0,372951195.0,548.21386,548.21386
ML2BWld,0.002824,2824281500.0,788918.0,2.88,979196266.0,622796.0,788918.0,5648563.0,7.159886,0.139667,0.223917,4416183.0,1232380.0,1772472060.0,1769231565.0,627.583355,627.583355
MD,0.000163,162634500.0,190319.0,0.65,248727532.0,621984.0,190319.0,325269.0,1.709073,0.585113,0.021447,41058.0,284211.0,80804010.0,90744795.0,496.844212,496.844212
CRf,0.000112,112116500.0,165385.0,0.48,234860649.0,621832.0,165385.0,224233.0,1.355824,0.737559,0.001876,21045.0,203188.0,56403150.0,51906300.0,503.076264,503.076264
CCa,3.8e-05,37733000.0,51717.0,0.14,268796427.0,621828.0,51717.0,75466.0,1.459211,0.685302,0.081688,20191.0,55275.0,20203380.0,17019240.0,535.429995,535.429995
