Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,5e-05,50205000.0,59948.0,0.18,282151594.0,619652.0,59948.0,100410.0,1.674952,0.597032,0.081541,20461.0,79949.0,26239410.0,23072940.0,522.645354,522.645354
EM1,2.6e-05,25514500.0,18851.0,0.09,289439148.0,619656.0,18851.0,51029.0,2.706965,0.369417,0.079464,20936.0,30093.0,14946990.0,11694870.0,585.823355,585.823355
DPT,0.000113,113188000.0,106979.0,0.39,288331766.0,619660.0,106979.0,226376.0,2.116079,0.472572,0.033173,32348.0,194028.0,57112215.0,52485165.0,504.578356,504.578356
MIM2,0.000288,287571000.0,105243.0,0.43,672119711.0,620116.0,105243.0,575142.0,5.464896,0.182986,0.171107,403534.0,171608.0,164453355.0,161861910.0,571.870442,571.870442
CCl,5e-05,49608000.0,119245.0,0.19,256379246.0,619664.0,119245.0,99216.0,0.832035,1.201873,0.030284,21164.0,78052.0,26142435.0,22843980.0,526.980225,526.980225
EF,3.4e-05,33535500.0,43449.0,0.13,255141871.0,619660.0,43449.0,67071.0,1.543672,0.647806,0.077739,20466.0,46605.0,18570000.0,15407400.0,553.741557,553.741557
STL2,0.001226,1225605000.0,309681.0,1.43,859622165.0,620064.0,309681.0,2451210.0,7.915274,0.126338,0.264231,1889783.0,561427.0,765770505.0,763433745.0,624.8102,624.8102
ML2BWst,0.002275,2274858000.0,625078.0,2.59,879224681.0,620176.0,625078.0,4549716.0,7.278637,0.137388,0.358614,3651469.0,898247.0,1675106100.0,1671912120.0,736.356335,736.356335
CRd,0.061834,61833541500.0,85974033.0,241.37,256182013.0,619668.0,85974033.0,123667083.0,1.438424,0.695205,1e-05,285331.0,123381752.0,28774228185.0,28765730490.0,465.349833,465.349833
MMst,0.007878,7877889000.0,2982932.0,13.83,569663017.0,620440.0,2982932.0,15755778.0,5.281977,0.189323,0.202998,10155717.0,5600061.0,5232189630.0,5227776180.0,664.16138,664.16138
MIM,0.000288,287571000.0,105243.0,0.44,656618376.0,620116.0,105243.0,575142.0,5.464896,0.182986,0.171107,403534.0,171608.0,164453355.0,161861910.0,571.870442,571.870442
ED1,3.1e-05,31101500.0,14759.0,0.1,301481948.0,619652.0,14759.0,62203.0,4.214581,0.237272,0.079393,19835.0,42368.0,17009370.0,13840470.0,546.898703,546.898703
CCh,0.001045,1044974500.0,1182157.0,3.4,306974790.0,619792.0,1182157.0,2089949.0,1.767912,0.565639,0.00261,172022.0,1917927.0,500856360.0,487217655.0,479.300079,479.300079
CS1,1.8e-05,17779000.0,8305.0,0.07,270623834.0,619664.0,8305.0,35558.0,4.281517,0.233562,0.052243,21106.0,14452.0,11265570.0,8092260.0,633.644749,633.644749
CF1,2.1e-05,20864000.0,15008.0,0.08,264924019.0,619672.0,15008.0,41728.0,2.780384,0.359663,0.034108,20909.0,20819.0,12675675.0,9276900.0,607.538104,607.538104
MDyn,0.017745,17744532000.0,4282809.0,20.14,881142608.0,620332.0,4282809.0,35489064.0,8.286399,0.12068,0.25189,27276147.0,8212917.0,10716752520.0,10712880270.0,603.946755,603.946755
STL2b,0.003163,3163147500.0,397497.0,2.47,1282017946.0,620060.0,397497.0,6326295.0,15.915328,0.062833,0.619327,5496069.0,830226.0,2311471935.0,2303233860.0,730.7506,730.7506
ML2BWld,0.003448,3448186500.0,788918.0,2.99,1151634622.0,620216.0,788918.0,6896373.0,8.741559,0.114396,0.256373,5619093.0,1277280.0,2150557440.0,2151291975.0,623.67782,623.67782
MD,0.000163,162634500.0,190319.0,0.65,248350318.0,619808.0,190319.0,325269.0,1.709073,0.585113,0.021447,41058.0,284211.0,80804010.0,90744795.0,496.844212,496.844212
CRf,0.000112,112116500.0,165385.0,0.48,231260493.0,619656.0,165385.0,224233.0,1.355824,0.737559,0.001876,21045.0,203188.0,56403150.0,51906300.0,503.076264,503.076264
CCa,3.8e-05,37733000.0,51717.0,0.14,267873857.0,619652.0,51717.0,75466.0,1.459211,0.685302,0.081688,20191.0,55275.0,20203380.0,17019240.0,535.429995,535.429995
DP1d,0.000327,326906000.0,293977.0,1.03,317701001.0,619800.0,293977.0,653812.0,2.224024,0.449635,0.036128,196621.0,457191.0,166753515.0,164032200.0,510.09622,510.09622
CCe,6.1e-05,60609500.0,76331.0,0.22,276141527.0,619656.0,76331.0,121219.0,1.58807,0.629695,0.010167,24858.0,96361.0,30966450.0,27700830.0,510.91743,510.91743
DPTd,5.6e-05,55549000.0,50197.0,0.19,287429020.0,619688.0,50197.0,111098.0,2.21324,0.451826,0.027571,24391.0,86707.0,29312760.0,25757790.0,527.691948,527.691948
EI,3.4e-05,33886500.0,39358.0,0.12,293500955.0,619660.0,39358.0,67773.0,1.721962,0.580733,0.082143,21241.0,46532.0,18793320.0,15542280.0,554.596078,554.596078
DPcvt,5.1e-05,51489000.0,33240.0,0.17,294670080.0,619676.0,33240.0,102978.0,3.098014,0.322787,0.03315,31635.0,71343.0,28321125.0,23566380.0,550.042242,550.042242
EM5,3.2e-05,31629500.0,35251.0,0.11,278785501.0,619788.0,35251.0,63259.0,1.794531,0.557249,0.081541,20884.0,42375.0,17902140.0,14675400.0,565.995036,565.995036
ML2BWldst,0.00355,3550228500.0,821686.0,3.23,1097899054.0,620184.0,821686.0,7100457.0,8.641326,0.115723,0.224462,5862469.0,1237988.0,2354840520.0,2354314800.0,663.292664,663.292664
DP1f,0.000172,172158000.0,149964.0,0.54,317369948.0,619784.0,149964.0,344316.0,2.295991,0.435542,0.036552,110268.0,234048.0,86995800.0,89702580.0,505.325341,505.325341
STc,9.5e-05,94712000.0,70173.0,0.28,340741674.0,619676.0,70173.0,189424.0,2.699386,0.370455,0.018734,32265.0,157159.0,48793470.0,43958040.0,515.177274,515.177274
CS3,0.000126,126284000.0,75058.0,0.35,361778809.0,619660.0,75058.0,252568.0,3.364971,0.297179,0.018567,23721.0,228847.0,61903140.0,58611360.0,490.189889,490.189889
MI,0.000111,111231500.0,168504.0,0.45,247020729.0,619672.0,168504.0,222463.0,1.320224,0.757447,0.005095,48420.0,174043.0,56337480.0,51566460.0,506.48854,506.48854
MIP,7.2e-05,72095000.0,46492.0,0.18,409867464.0,619700.0,46492.0,144190.0,3.101394,0.322436,0.079111,48007.0,96183.0,41494005.0,34969380.0,575.546224,575.546224
MCS,0.000538,538010500.0,272847.0,1.02,526831722.0,620108.0,272847.0,1076021.0,3.943679,0.25357,0.217496,695169.0,380852.0,324526320.0,310133445.0,603.197001,603.197001
CRm,4.9e-05,49071000.0,53538.0,0.18,267793696.0,619688.0,53538.0,98142.0,1.833128,0.545516,0.010888,28679.0,69463.0,28173855.0,23711205.0,574.144709,574.144709
ML2,0.00541,5410101500.0,985515.0,3.77,1435815348.0,620072.0,985515.0,10820203.0,10.979237,0.091081,0.432579,9329659.0,1490544.0,3425992605.0,3423286140.0,633.258471,633.258471
CChst,6.8e-05,68463500.0,99007.0,0.26,264483082.0,619688.0,99007.0,136927.0,1.383003,0.723064,0.02416,31934.0,104993.0,35139555.0,33897675.0,513.259693,513.259693
MM,0.007663,7662981000.0,3048463.0,13.46,569258321.0,620476.0,3048463.0,15325962.0,5.027439,0.198908,0.202997,9719984.0,5605978.0,4913785410.0,4908592725.0,641.236799,641.236799
ML2st,0.005639,5639413000.0,1051043.0,4.17,1352720514.0,620068.0,1051043.0,11278826.0,10.73108,0.093187,0.371737,9848238.0,1430588.0,3945129045.0,3944595195.0,699.563775,699.563775
MC,0.005768,5768320000.0,338364.0,2.09,2765864562.0,620092.0,338364.0,11536640.0,34.095353,0.02933,0.725504,10689172.0,847468.0,3770396520.0,3533642235.0,653.638585,653.638585
