Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,5e-05,50205000.0,59948.0,0.17,287002982.0,618620.0,59948.0,100410.0,1.674952,0.597032,0.081541,20461.0,79949.0,26239410.0,23072940.0,522.645354,522.645354
EM1,2.6e-05,25514500.0,18851.0,0.09,288142165.0,618620.0,18851.0,51029.0,2.706965,0.369417,0.079464,20936.0,30093.0,14946990.0,11694870.0,585.823355,585.823355
DPT,0.000113,113188000.0,106979.0,0.39,292740571.0,618628.0,106979.0,226376.0,2.116079,0.472572,0.033173,32348.0,194028.0,57112215.0,52485165.0,504.578356,504.578356
MIM2,0.00074,740284000.0,105243.0,0.56,1323104954.0,618924.0,105243.0,1480568.0,14.06809,0.071083,0.490166,1278401.0,202167.0,452896620.0,458809455.0,611.787665,611.787665
CCl,5e-05,49608000.0,119245.0,0.19,256059735.0,618632.0,119245.0,99216.0,0.832035,1.201873,0.030284,21164.0,78052.0,26142435.0,22843980.0,526.980225,526.980225
EF,3.4e-05,33535500.0,43449.0,0.13,251767264.0,618628.0,43449.0,67071.0,1.543672,0.647806,0.077739,20466.0,46605.0,18570000.0,15407400.0,553.741557,553.741557
STL2,0.001266,1266394000.0,309681.0,1.45,871604835.0,618896.0,309681.0,2532788.0,8.1787,0.122269,0.268067,1970730.0,562058.0,802312650.0,799931010.0,633.541102,633.541102
ML2BWst,0.002438,2437575000.0,625078.0,2.7,902842762.0,618904.0,625078.0,4875150.0,7.799267,0.128217,0.378377,3973430.0,901720.0,1817968575.0,1817379045.0,745.810314,745.810314
CRd,0.061834,61833541500.0,85974033.0,245.96,251398267.0,618636.0,85974033.0,123667083.0,1.438424,0.695205,1e-05,285331.0,123381752.0,28774228185.0,28765730490.0,465.349833,465.349833
MMst,0.007569,7569096000.0,2982932.0,13.43,563567519.0,619148.0,2982932.0,15138192.0,5.074937,0.197047,0.202998,9535873.0,5602319.0,5190849630.0,5187941835.0,685.79519,685.79519
MIM,0.000747,747258000.0,105243.0,0.6,1250393612.0,618924.0,105243.0,1494516.0,14.200621,0.070419,0.491378,1286900.0,207616.0,468742980.0,470648040.0,627.28399,627.28399
ED1,3.1e-05,31101500.0,14759.0,0.1,302282174.0,618620.0,14759.0,62203.0,4.214581,0.237272,0.079393,19835.0,42368.0,17009370.0,13840470.0,546.898703,546.898703
CCh,0.001045,1044974500.0,1182157.0,3.4,306995940.0,618636.0,1182157.0,2089949.0,1.767912,0.565639,0.00261,172022.0,1917927.0,500856360.0,487217655.0,479.300079,479.300079
CS1,1.8e-05,17779000.0,8305.0,0.07,273414800.0,618632.0,8305.0,35558.0,4.281517,0.233562,0.052243,21106.0,14452.0,11265570.0,8092260.0,633.644749,633.644749
CF1,2.1e-05,20864000.0,15008.0,0.08,263457529.0,618768.0,15008.0,41728.0,2.780384,0.359663,0.034108,20909.0,20819.0,12675675.0,9276900.0,607.538104,607.538104
MDyn,0.017773,17772630000.0,4282809.0,20.13,882864244.0,619040.0,4282809.0,35545260.0,8.29952,0.120489,0.252351,27330030.0,8215230.0,10736412780.0,10732027845.0,604.098143,604.098143
STL2b,0.003178,3178081500.0,397497.0,2.52,1262162783.0,618888.0,397497.0,6356163.0,15.990468,0.062537,0.619327,5525828.0,830335.0,2324942910.0,2316617700.0,731.555471,731.555471
ML2BWld,0.00372,3720021500.0,788918.0,3.04,1222638776.0,618912.0,788918.0,7440043.0,9.430692,0.106037,0.270647,6143013.0,1297030.0,2319815130.0,2319668325.0,623.602614,623.602614
MD,0.000163,162634500.0,190319.0,0.66,245599012.0,618904.0,190319.0,325269.0,1.709073,0.585113,0.021447,41058.0,284211.0,80804010.0,90744795.0,496.844212,496.844212
CRf,0.000112,112116500.0,165385.0,0.49,229143899.0,618624.0,165385.0,224233.0,1.355824,0.737559,0.001876,21045.0,203188.0,56403150.0,51906300.0,503.076264,503.076264
CCa,3.8e-05,37733000.0,51717.0,0.14,262562884.0,618620.0,51717.0,75466.0,1.459211,0.685302,0.081688,20191.0,55275.0,20203380.0,17019240.0,535.429995,535.429995
DP1d,0.000328,327503000.0,293977.0,1.01,323569208.0,618784.0,293977.0,655006.0,2.228086,0.448816,0.036224,197740.0,457266.0,167752920.0,165371910.0,512.217964,512.217964
CCe,6.1e-05,60609500.0,76331.0,0.22,274442855.0,618628.0,76331.0,121219.0,1.58807,0.629695,0.010167,24858.0,96361.0,30966450.0,27700830.0,510.91743,510.91743
DPTd,5.6e-05,55549000.0,50197.0,0.2,282793781.0,618656.0,50197.0,111098.0,2.21324,0.451826,0.027571,24391.0,86707.0,29312760.0,25757790.0,527.691948,527.691948
EI,3.4e-05,33886500.0,39358.0,0.11,297143185.0,618628.0,39358.0,67773.0,1.721962,0.580733,0.082143,21241.0,46532.0,18793320.0,15542280.0,554.596078,554.596078
DPcvt,5.1e-05,51489000.0,33240.0,0.17,304199452.0,618644.0,33240.0,102978.0,3.098014,0.322787,0.03315,31635.0,71343.0,28321125.0,23566380.0,550.042242,550.042242
EM5,3.2e-05,31629500.0,35251.0,0.11,283361360.0,618624.0,35251.0,63259.0,1.794531,0.557249,0.081541,20884.0,42375.0,17902140.0,14675400.0,565.995036,565.995036
ML2BWldst,0.003842,3842033500.0,821686.0,3.24,1186071015.0,618920.0,821686.0,7684067.0,9.351586,0.106934,0.236959,6439501.0,1244566.0,2567987595.0,2568210780.0,668.392817,668.392817
DP1f,0.000172,172158000.0,149964.0,0.54,317186040.0,618752.0,149964.0,344316.0,2.295991,0.435542,0.036552,110268.0,234048.0,86995800.0,89702580.0,505.325341,505.325341
STc,9.5e-05,94712000.0,70173.0,0.28,339678356.0,618644.0,70173.0,189424.0,2.699386,0.370455,0.018734,32265.0,157159.0,48793470.0,43958040.0,515.177274,515.177274
CS3,0.000126,126284000.0,75058.0,0.35,361604150.0,618628.0,75058.0,252568.0,3.364971,0.297179,0.018567,23721.0,228847.0,61903140.0,58611360.0,490.189889,490.189889
MI,0.000111,111231500.0,168504.0,0.44,253666337.0,618640.0,168504.0,222463.0,1.320224,0.757447,0.005095,48420.0,174043.0,56337480.0,51566460.0,506.48854,506.48854
MIP,7.2e-05,72095000.0,46492.0,0.17,412179360.0,618668.0,46492.0,144190.0,3.101394,0.322436,0.079111,48007.0,96183.0,41494005.0,34969380.0,575.546224,575.546224
MCS,0.00139,1390175500.0,272847.0,1.51,923656532.0,618896.0,272847.0,2780351.0,10.190147,0.098134,0.725077,2298050.0,482301.0,798137550.0,781998570.0,574.127188,574.127188
CRm,4.9e-05,49071000.0,53538.0,0.19,261667254.0,618656.0,53538.0,98142.0,1.833128,0.545516,0.010888,28679.0,69463.0,28173855.0,23711205.0,574.144709,574.144709
ML2,0.00591,5909611500.0,985515.0,3.85,1535609775.0,618900.0,985515.0,11819223.0,11.992941,0.083382,0.465569,10277109.0,1542114.0,3743094930.0,3741782910.0,633.391033,633.391033
CChst,6.8e-05,68463500.0,99007.0,0.26,264528773.0,618656.0,99007.0,136927.0,1.383003,0.723064,0.02416,31934.0,104993.0,35139555.0,33897675.0,513.259693,513.259693
MM,0.007532,7532163000.0,3048463.0,13.4,562299464.0,619148.0,3048463.0,15064326.0,4.941614,0.202363,0.202996,9458420.0,5605906.0,4870816650.0,4868889150.0,646.669044,646.669044
ML2st,0.006158,6158083000.0,1051043.0,4.31,1427441698.0,618900.0,1051043.0,12316166.0,11.718042,0.085338,0.404195,10868837.0,1447329.0,4325093775.0,4323194850.0,702.344183,702.344183
MC,0.005247,5246693000.0,338364.0,2.06,2550887360.0,618884.0,338364.0,10493386.0,31.012123,0.032245,0.725806,9645838.0,847548.0,3177595020.0,3419926500.0,605.637688,605.637688
