Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,5e-05,50205000.0,59948.0,0.17,287527897.0,621712.0,59948.0,100410.0,1.674952,0.597032,0.081541,20461.0,79949.0,26239410.0,23072940.0,522.645354,522.645354
EM1,2.6e-05,25514500.0,18851.0,0.09,291312731.0,621712.0,18851.0,51029.0,2.706965,0.369417,0.079464,20936.0,30093.0,14946990.0,11694870.0,585.823355,585.823355
DPT,0.000113,113188000.0,106979.0,0.39,289485485.0,621716.0,106979.0,226376.0,2.116079,0.472572,0.033173,32348.0,194028.0,57112215.0,52485165.0,504.578356,504.578356
MIM2,0.000275,274895000.0,105243.0,0.43,642484824.0,622164.0,105243.0,549790.0,5.224005,0.191424,0.164665,379619.0,170171.0,155739855.0,152753010.0,566.543062,566.543062
CCl,5e-05,49608000.0,119245.0,0.2,252852225.0,621724.0,119245.0,99216.0,0.832035,1.201873,0.030284,21164.0,78052.0,26142435.0,22843980.0,526.980225,526.980225
EF,3.4e-05,33535500.0,43449.0,0.13,255362030.0,621716.0,43449.0,67071.0,1.543672,0.647806,0.077739,20466.0,46605.0,18570000.0,15407400.0,553.741557,553.741557
STL2,0.001144,1143948000.0,309681.0,1.38,828371149.0,622600.0,309681.0,2287896.0,7.387912,0.135356,0.256679,1727518.0,560378.0,694616250.0,694185075.0,607.209637,607.209637
ML2BWst,0.001907,1906927000.0,625078.0,2.43,783487293.0,622644.0,625078.0,3813854.0,6.101405,0.163897,0.314022,2923134.0,890720.0,1352740830.0,1351899045.0,709.382598,709.382598
CRd,0.061834,61833541500.0,85974033.0,245.38,251993227.0,621728.0,85974033.0,123667083.0,1.438424,0.695205,1e-05,285331.0,123381752.0,28774228185.0,28765730490.0,465.349833,465.349833
MMst,0.007861,7860865000.0,2982932.0,13.59,578356026.0,622916.0,2982932.0,15721730.0,5.270563,0.189733,0.202998,10125487.0,5596243.0,5216945490.0,5209520535.0,663.660486,663.660486
MIM,0.000275,274895000.0,105243.0,0.43,638135890.0,622164.0,105243.0,549790.0,5.224005,0.191424,0.164665,379619.0,170171.0,155739855.0,152753010.0,566.543062,566.543062
ED1,3.1e-05,31101500.0,14759.0,0.1,296863814.0,621708.0,14759.0,62203.0,4.214581,0.237272,0.079393,19835.0,42368.0,17009370.0,13840470.0,546.898703,546.898703
CCh,0.001045,1044974500.0,1182157.0,3.35,311780234.0,621724.0,1182157.0,2089949.0,1.767912,0.565639,0.00261,172022.0,1917927.0,500856360.0,487217655.0,479.300079,479.300079
CS1,1.8e-05,17779000.0,8305.0,0.07,272767076.0,621720.0,8305.0,35558.0,4.281517,0.233562,0.052243,21106.0,14452.0,11265570.0,8092260.0,633.644749,633.644749
CF1,2.1e-05,20864000.0,15008.0,0.08,263912475.0,621728.0,15008.0,41728.0,2.780384,0.359663,0.034108,20909.0,20819.0,12675675.0,9276900.0,607.538104,607.538104
MDyn,0.017685,17684801000.0,4282809.0,20.13,878385119.0,622824.0,4282809.0,35369602.0,8.258506,0.121087,0.250934,27161504.0,8208098.0,10675528395.0,10671482040.0,603.655557,603.655557
STL2b,0.000696,695773500.0,397497.0,1.37,507712332.0,622616.0,397497.0,1391547.0,3.500774,0.285651,0.126498,734807.0,656740.0,381611700.0,375600285.0,548.471162,548.471162
MD,0.000163,162634500.0,190319.0,0.65,251429365.0,621864.0,190319.0,325269.0,1.709073,0.585113,0.021447,41058.0,284211.0,80804010.0,90744795.0,496.844212,496.844212
CRf,0.000112,112116500.0,165385.0,0.48,232821770.0,621716.0,165385.0,224233.0,1.355824,0.737559,0.001876,21045.0,203188.0,56403150.0,51906300.0,503.076264,503.076264
CCa,3.8e-05,37733000.0,51717.0,0.14,267451220.0,621708.0,51717.0,75466.0,1.459211,0.685302,0.081688,20191.0,55275.0,20203380.0,17019240.0,535.429995,535.429995
DP1d,0.000327,326906000.0,293977.0,1.01,323450430.0,621860.0,293977.0,653812.0,2.224024,0.449635,0.036128,196621.0,457191.0,166753515.0,164032200.0,510.09622,510.09622
CCe,6.1e-05,60609500.0,76331.0,0.22,280553672.0,621716.0,76331.0,121219.0,1.58807,0.629695,0.010167,24858.0,96361.0,30966450.0,27700830.0,510.91743,510.91743
ML2BW,0.00284,2839906500.0,788918.0,2.88,984612689.0,622672.0,788918.0,5679813.0,7.199497,0.138899,0.224806,4446203.0,1233610.0,1777352265.0,1776848400.0,625.848867,625.848867
DPTd,5.6e-05,55549000.0,50197.0,0.19,286698239.0,621748.0,50197.0,111098.0,2.21324,0.451826,0.027571,24391.0,86707.0,29312760.0,25757790.0,527.691948,527.691948
EI,3.4e-05,33886500.0,39358.0,0.12,292953652.0,621720.0,39358.0,67773.0,1.721962,0.580733,0.082143,21241.0,46532.0,18793320.0,15542280.0,554.596078,554.596078
DPcvt,5.1e-05,51489000.0,33240.0,0.17,306757399.0,621736.0,33240.0,102978.0,3.098014,0.322787,0.03315,31635.0,71343.0,28321125.0,23566380.0,550.042242,550.042242
EM5,3.2e-05,31629500.0,35251.0,0.11,279005182.0,621716.0,35251.0,63259.0,1.794531,0.557249,0.081541,20884.0,42375.0,17902140.0,14675400.0,565.995036,565.995036
ML2BWldst,0.002899,2899337500.0,821686.0,3.08,940383985.0,622668.0,821686.0,5798675.0,7.057045,0.141702,0.196824,4575277.0,1223398.0,1883456355.0,1884640635.0,649.616112,649.616112
DP1f,0.000172,172158000.0,149964.0,0.55,313667780.0,621844.0,149964.0,344316.0,2.295991,0.435542,0.036552,110268.0,234048.0,86995800.0,89702580.0,505.325341,505.325341
STc,9.5e-05,94712000.0,70173.0,0.28,336760475.0,621732.0,70173.0,189424.0,2.699386,0.370455,0.018734,32265.0,157159.0,48793470.0,43958040.0,515.177274,515.177274
CS3,0.000126,126284000.0,75058.0,0.35,358576129.0,621720.0,75058.0,252568.0,3.364971,0.297179,0.018567,23721.0,228847.0,61903140.0,58611360.0,490.189889,490.189889
MI,0.000111,111231500.0,168504.0,0.44,251967435.0,621732.0,168504.0,222463.0,1.320224,0.757447,0.005095,48420.0,174043.0,56337480.0,51566460.0,506.48854,506.48854
MIP,7.2e-05,72095000.0,46492.0,0.18,409560096.0,621760.0,46492.0,144190.0,3.101394,0.322436,0.079111,48007.0,96183.0,41494005.0,34969380.0,575.546224,575.546224
MCS,0.000397,397021000.0,272847.0,0.84,473225380.0,622228.0,272847.0,794042.0,2.91021,0.343618,0.089175,465913.0,328129.0,215770425.0,219305820.0,543.473582,543.473582
CRm,4.9e-05,49071000.0,53538.0,0.19,262909075.0,621744.0,53538.0,98142.0,1.833128,0.545516,0.010888,28679.0,69463.0,28173855.0,23711205.0,574.144709,574.144709
ML2,0.004306,4306492500.0,985515.0,3.51,1226497280.0,622644.0,985515.0,8612985.0,8.739578,0.114422,0.360753,7223500.0,1389485.0,2727456405.0,2726320110.0,633.335924,633.335924
CChst,6.8e-05,68463500.0,99007.0,0.26,263926455.0,621752.0,99007.0,136927.0,1.383003,0.723064,0.02416,31934.0,104993.0,35139555.0,33897675.0,513.259693,513.259693
MM,0.007676,7675512000.0,3048463.0,13.44,571005177.0,622904.0,3048463.0,15351024.0,5.03566,0.198584,0.202997,9745060.0,5605964.0,4918728285.0,4913907585.0,640.833899,640.833899
ML2st,0.004469,4469378000.0,1051043.0,3.89,1148050584.0,622640.0,1051043.0,8938756.0,8.504653,0.117583,0.302119,7544540.0,1394216.0,3087146940.0,3086432730.0,690.733015,690.733015
MC,0.000536,536185000.0,338364.0,1.23,437143985.0,622208.0,338364.0,1072370.0,3.169279,0.315529,0.089176,429697.0,642673.0,280024005.0,283336125.0,522.25259,522.25259
