Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,5e-05,50205000.0,59948.0,0.18,285109215.0,618600.0,59948.0,100410.0,1.674952,0.597032,0.081541,20461.0,79949.0,26239410.0,23072940.0,522.645354,522.645354
EM1,2.6e-05,25514500.0,18851.0,0.09,291871353.0,618600.0,18851.0,51029.0,2.706965,0.369417,0.079464,20936.0,30093.0,14946990.0,11694870.0,585.823355,585.823355
DPT,0.000113,113188000.0,106979.0,0.39,293891735.0,618608.0,106979.0,226376.0,2.116079,0.472572,0.033173,32348.0,194028.0,57112215.0,52485165.0,504.578356,504.578356
MIM2,0.00074,740449000.0,105243.0,0.58,1274625066.0,618900.0,105243.0,1480898.0,14.071226,0.071067,0.490166,1278707.0,202191.0,454928235.0,456879270.0,614.395097,614.395097
CCl,5e-05,49608000.0,119245.0,0.2,252162938.0,618612.0,119245.0,99216.0,0.832035,1.201873,0.030284,21164.0,78052.0,26142435.0,22843980.0,526.980225,526.980225
EF,3.4e-05,33535500.0,43449.0,0.13,252049797.0,618608.0,43449.0,67071.0,1.543672,0.647806,0.077739,20466.0,46605.0,18570000.0,15407400.0,553.741557,553.741557
STL2,0.001267,1267198000.0,309681.0,1.44,877162425.0,618872.0,309681.0,2534396.0,8.183892,0.122191,0.268147,1972359.0,562037.0,802694910.0,799843260.0,633.440796,633.440796
ML2BWst,0.00244,2439788000.0,625078.0,2.6,939817819.0,618864.0,625078.0,4879576.0,7.806347,0.128101,0.378407,3977887.0,901689.0,1818054570.0,1816514445.0,745.169076,745.169076
CRd,0.061834,61833541500.0,85974033.0,242.19,255305085.0,618744.0,85974033.0,123667083.0,1.438424,0.695205,1e-05,285331.0,123381752.0,28774228185.0,28765730490.0,465.349833,465.349833
MMst,0.007566,7566000000.0,2982932.0,13.74,550853329.0,619124.0,2982932.0,15132000.0,5.072861,0.197127,0.202998,9529522.0,5602478.0,5190532515.0,5184206985.0,686.033904,686.033904
MIM,0.000749,749016000.0,105243.0,0.61,1236400782.0,618904.0,105243.0,1498032.0,14.23403,0.070254,0.491378,1290436.0,207596.0,470117010.0,470454210.0,627.646152,627.646152
ED1,3.1e-05,31101500.0,14759.0,0.1,302049996.0,618600.0,14759.0,62203.0,4.214581,0.237272,0.079393,19835.0,42368.0,17009370.0,13840470.0,546.898703,546.898703
CCh,0.001045,1044974500.0,1182157.0,3.35,311941007.0,618612.0,1182157.0,2089949.0,1.767912,0.565639,0.00261,172022.0,1917927.0,500856360.0,487217655.0,479.300079,479.300079
CS1,1.8e-05,17779000.0,8305.0,0.06,276623774.0,618612.0,8305.0,35558.0,4.281517,0.233562,0.052243,21106.0,14452.0,11265570.0,8092260.0,633.644749,633.644749
CF1,2.1e-05,20864000.0,15008.0,0.08,252212474.0,618748.0,15008.0,41728.0,2.780384,0.359663,0.034108,20909.0,20819.0,12675675.0,9276900.0,607.538104,607.538104
MDyn,0.017762,17761671000.0,4282809.0,20.11,883099877.0,619020.0,4282809.0,35523342.0,8.294403,0.120563,0.25189,27310434.0,8212908.0,10731510480.0,10726962585.0,604.194869,604.194869
STL2b,0.003179,3178836500.0,397497.0,2.48,1283167957.0,618868.0,397497.0,6357673.0,15.994267,0.062522,0.619327,5527211.0,830462.0,2325123975.0,2316443625.0,731.43868,731.43868
