Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,5e-05,50205000.0,59948.0,0.18,281623290.0,619900.0,59948.0,100410.0,1.674952,0.597032,0.081541,20461.0,79949.0,26239410.0,23072940.0,522.645354,522.645354
EM1,2.6e-05,25514500.0,18851.0,0.09,290399562.0,619772.0,18851.0,51029.0,2.706965,0.369417,0.079464,20936.0,30093.0,14946990.0,11694870.0,585.823355,585.823355
DPT,0.000113,113188000.0,106979.0,0.39,291001452.0,619780.0,106979.0,226376.0,2.116079,0.472572,0.033173,32348.0,194028.0,57112215.0,52485165.0,504.578356,504.578356
MIM2,0.000278,278019000.0,105243.0,0.43,644893067.0,620196.0,105243.0,556038.0,5.283373,0.189273,0.166812,385254.0,170784.0,158770365.0,153953010.0,571.07739,571.07739
CCl,5e-05,49608000.0,119245.0,0.2,254201716.0,619784.0,119245.0,99216.0,0.832035,1.201873,0.030284,21164.0,78052.0,26142435.0,22843980.0,526.980225,526.980225
EF,3.4e-05,33535500.0,43449.0,0.13,256762852.0,619780.0,43449.0,67071.0,1.543672,0.647806,0.077739,20466.0,46605.0,18570000.0,15407400.0,553.741557,553.741557
STL2,0.001227,1226550000.0,309681.0,1.47,835060019.0,620184.0,309681.0,2453100.0,7.921377,0.126241,0.264251,1891658.0,561442.0,770283255.0,766096230.0,628.008035,628.008035
ML2BWst,0.002269,2268800000.0,625078.0,2.53,897784332.0,620304.0,625078.0,4537600.0,7.259254,0.137755,0.357689,3639529.0,898071.0,1676052405.0,1673279940.0,738.7396,738.7396
CRd,0.061834,61833541500.0,85974033.0,241.76,255760173.0,619788.0,85974033.0,123667083.0,1.438424,0.695205,1e-05,285331.0,123381752.0,28774228185.0,28765730490.0,465.349833,465.349833
MIM,0.000278,278019000.0,105243.0,0.43,644581767.0,620200.0,105243.0,556038.0,5.283373,0.189273,0.166812,385254.0,170784.0,158770365.0,153953010.0,571.07739,571.07739
ED1,3.1e-05,31101500.0,14759.0,0.1,305406209.0,619772.0,14759.0,62203.0,4.214581,0.237272,0.079393,19835.0,42368.0,17009370.0,13840470.0,546.898703,546.898703
CCh,0.001045,1044974500.0,1182157.0,3.4,307381685.0,619788.0,1182157.0,2089949.0,1.767912,0.565639,0.00261,172022.0,1917927.0,500856360.0,487217655.0,479.300079,479.300079
CS1,1.8e-05,17779000.0,8305.0,0.07,271382831.0,619784.0,8305.0,35558.0,4.281517,0.233562,0.052243,21106.0,14452.0,11265570.0,8092260.0,633.644749,633.644749
CF1,2.1e-05,20864000.0,15008.0,0.08,257229722.0,619792.0,15008.0,41728.0,2.780384,0.359663,0.034108,20909.0,20819.0,12675675.0,9276900.0,607.538104,607.538104
MDyn,0.017759,17758963000.0,4282809.0,20.06,885110570.0,620452.0,4282809.0,35517926.0,8.293138,0.120582,0.252529,27301834.0,8216092.0,10723487850.0,10718944410.0,603.835249,603.835249
STL2b,0.003161,3160722500.0,397497.0,2.44,1293731209.0,620216.0,397497.0,6321445.0,15.903126,0.062881,0.619327,5491081.0,830364.0,2309045850.0,2300582010.0,730.543681,730.543681
ML2BWld,0.003437,3436547500.0,788918.0,2.99,1147612038.0,620300.0,788918.0,6873095.0,8.712052,0.114784,0.255692,5596756.0,1276339.0,2146712070.0,2145389445.0,624.671147,624.671147
MD,0.000163,162634500.0,190319.0,0.65,250209990.0,619928.0,190319.0,325269.0,1.709073,0.585113,0.021447,41058.0,284211.0,80804010.0,90744795.0,496.844212,496.844212
CRf,0.000112,112116500.0,165385.0,0.48,231328168.0,619776.0,165385.0,224233.0,1.355824,0.737559,0.001876,21045.0,203188.0,56403150.0,51906300.0,503.076264,503.076264
CCa,3.8e-05,37733000.0,51717.0,0.14,266813723.0,619772.0,51717.0,75466.0,1.459211,0.685302,0.081688,20191.0,55275.0,20203380.0,17019240.0,535.429995,535.429995
DP1d,0.000327,326906000.0,293977.0,1.02,321489721.0,619920.0,293977.0,653812.0,2.224024,0.449635,0.036128,196621.0,457191.0,166753515.0,164032200.0,510.09622,510.09622
CCe,6.1e-05,60609500.0,76331.0,0.22,274414338.0,619780.0,76331.0,121219.0,1.58807,0.629695,0.010167,24858.0,96361.0,30966450.0,27700830.0,510.91743,510.91743
ML2BW,0.003437,3436547500.0,788918.0,2.99,1147612038.0,620300.0,788918.0,6873095.0,8.712052,0.114784,0.255692,5596756.0,1276339.0,2146712070.0,2145389445.0,624.671147,624.671147
DPTd,5.6e-05,55549000.0,50197.0,0.2,282124720.0,619808.0,50197.0,111098.0,2.21324,0.451826,0.027571,24391.0,86707.0,29312760.0,25757790.0,527.691948,527.691948
EI,3.4e-05,33886500.0,39358.0,0.11,297156589.0,619780.0,39358.0,67773.0,1.721962,0.580733,0.082143,21241.0,46532.0,18793320.0,15542280.0,554.596078,554.596078
DPcvt,5.1e-05,51489000.0,33240.0,0.17,305475893.0,619796.0,33240.0,102978.0,3.098014,0.322787,0.03315,31635.0,71343.0,28321125.0,23566380.0,550.042242,550.042242
EM5,3.2e-05,31629500.0,35251.0,0.11,278468109.0,619776.0,35251.0,63259.0,1.794531,0.557249,0.081541,20884.0,42375.0,17902140.0,14675400.0,565.995036,565.995036
ML2BWldst,0.003533,3532814500.0,821686.0,3.18,1111289700.0,620300.0,821686.0,7065629.0,8.59894,0.116293,0.223866,5827967.0,1237662.0,2349512205.0,2349740490.0,665.053941,665.053941
DP1f,0.000172,172158000.0,149964.0,0.55,312074006.0,619904.0,149964.0,344316.0,2.295991,0.435542,0.036552,110268.0,234048.0,86995800.0,89702580.0,505.325341,505.325341
STc,9.5e-05,94712000.0,70173.0,0.28,338623569.0,619796.0,70173.0,189424.0,2.699386,0.370455,0.018734,32265.0,157159.0,48793470.0,43958040.0,515.177274,515.177274
CS3,0.000126,126284000.0,75058.0,0.35,362492008.0,619780.0,75058.0,252568.0,3.364971,0.297179,0.018567,23721.0,228847.0,61903140.0,58611360.0,490.189889,490.189889
MI,0.000111,111231500.0,168504.0,0.44,251721919.0,619792.0,168504.0,222463.0,1.320224,0.757447,0.005095,48420.0,174043.0,56337480.0,51566460.0,506.48854,506.48854
MIP,7.2e-05,72095000.0,46492.0,0.18,411488571.0,619820.0,46492.0,144190.0,3.101394,0.322436,0.079111,48007.0,96183.0,41494005.0,34969380.0,575.546224,575.546224
MCS,0.000485,484911500.0,272847.0,0.95,509876810.0,620228.0,272847.0,969823.0,3.554457,0.281337,0.195458,617005.0,352818.0,259302270.0,265981830.0,534.741432,534.741432
CRm,4.9e-05,49071000.0,53538.0,0.19,263666319.0,619808.0,53538.0,98142.0,1.833128,0.545516,0.010888,28679.0,69463.0,28173855.0,23711205.0,574.144709,574.144709
ML2,0.005393,5393388500.0,985515.0,3.71,1454268733.0,620192.0,985515.0,10786777.0,10.94532,0.091363,0.431514,9296820.0,1489957.0,3418270620.0,3414579405.0,633.789059,633.789059
