Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,5e-05,50205000.0,59948.0,0.18,286728160.0,621748.0,59948.0,100410.0,1.674952,0.597032,0.081541,20461.0,79949.0,26239410.0,23072940.0,522.645354,522.645354
EM1,2.6e-05,25514500.0,18851.0,0.09,290956147.0,621748.0,18851.0,51029.0,2.706965,0.369417,0.079464,20936.0,30093.0,14946990.0,11694870.0,585.823355,585.823355
DPT,0.000113,113188000.0,106979.0,0.39,293675513.0,621756.0,106979.0,226376.0,2.116079,0.472572,0.033173,32348.0,194028.0,57112215.0,52485165.0,504.578356,504.578356
MIM2,0.000275,274895000.0,105243.0,0.42,651374660.0,622200.0,105243.0,549790.0,5.224005,0.191424,0.164665,379619.0,170171.0,155739855.0,152753010.0,566.543062,566.543062
CCl,5e-05,49608000.0,119245.0,0.19,254961350.0,621760.0,119245.0,99216.0,0.832035,1.201873,0.030284,21164.0,78052.0,26142435.0,22843980.0,526.980225,526.980225
EF,3.4e-05,33535500.0,43449.0,0.13,254252009.0,621756.0,43449.0,67071.0,1.543672,0.647806,0.077739,20466.0,46605.0,18570000.0,15407400.0,553.741557,553.741557
STL2,0.001145,1144632000.0,309681.0,1.38,830037161.0,622672.0,309681.0,2289264.0,7.39233,0.135275,0.256688,1728866.0,560398.0,697018155.0,696409200.0,608.945194,608.945194
ML2BWst,0.001901,1901209000.0,625078.0,2.81,675391531.0,622688.0,625078.0,3802418.0,6.08311,0.16439,0.313118,2911859.0,890559.0,1349878035.0,1350064965.0,710.010333,710.010333
CRd,0.061834,61833541500.0,85974033.0,249.25,248074347.0,621764.0,85974033.0,123667083.0,1.438424,0.695205,1e-05,285331.0,123381752.0,28774228185.0,28765730490.0,465.349833,465.349833
MMst,0.00789,7889940000.0,2982932.0,13.73,574853800.0,622948.0,2982932.0,15779880.0,5.290057,0.189034,0.202998,10182907.0,5596973.0,5183546565.0,5179271460.0,656.981747,656.981747
MIM,0.000275,274895000.0,105243.0,0.42,651280547.0,622200.0,105243.0,549790.0,5.224005,0.191424,0.164665,379619.0,170171.0,155739855.0,152753010.0,566.543062,566.543062
ED1,3.1e-05,31101500.0,14759.0,0.13,247844275.0,621748.0,14759.0,62203.0,4.214581,0.237272,0.079393,19835.0,42368.0,17009370.0,13840470.0,546.898703,546.898703
CCh,0.001045,1044974500.0,1182157.0,4.82,216648979.0,621760.0,1182157.0,2089949.0,1.767912,0.565639,0.00261,172022.0,1917927.0,500856360.0,487217655.0,479.300079,479.300079
CS1,1.8e-05,17779000.0,8305.0,0.07,271908272.0,621760.0,8305.0,35558.0,4.281517,0.233562,0.052243,21106.0,14452.0,11265570.0,8092260.0,633.644749,633.644749
CF1,2.1e-05,20864000.0,15008.0,0.08,261139579.0,621768.0,15008.0,41728.0,2.780384,0.359663,0.034108,20909.0,20819.0,12675675.0,9276900.0,607.538104,607.538104
MDyn,0.01771,17709575000.0,4282809.0,20.03,883997454.0,622860.0,4282809.0,35419150.0,8.270075,0.120918,0.25189,27206223.0,8212927.0,10688030910.0,10682774730.0,603.517075,603.517075
STL2b,0.000696,695773500.0,397497.0,2.24,311167021.0,622700.0,397497.0,1391547.0,3.500774,0.285651,0.125578,734805.0,656742.0,380496315.0,374628450.0,546.868076,546.868076
ML2BWld,0.002836,2835532500.0,788918.0,2.99,947624029.0,622708.0,788918.0,5671065.0,7.188409,0.139113,0.224581,4437769.0,1233296.0,1777627050.0,1775435715.0,626.911189,626.911189
MD,0.000163,162634500.0,190319.0,0.67,243770960.0,621904.0,190319.0,325269.0,1.709073,0.585113,0.021447,41058.0,284211.0,80804010.0,90744795.0,496.844212,496.844212
CRf,0.000112,112116500.0,165385.0,0.48,231182932.0,621752.0,165385.0,224233.0,1.355824,0.737559,0.001876,21045.0,203188.0,56403150.0,51906300.0,503.076264,503.076264
CCa,3.8e-05,37733000.0,51717.0,0.14,263861837.0,621748.0,51717.0,75466.0,1.459211,0.685302,0.081688,20191.0,55275.0,20203380.0,17019240.0,535.429995,535.429995
DP1d,0.000327,326906000.0,293977.0,1.05,310333493.0,621896.0,293977.0,653812.0,2.224024,0.449635,0.036128,196621.0,457191.0,166753515.0,164032200.0,510.09622,510.09622
